,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 13:50:29.237738,,,,,,,,,
1,Simulation configuration ID,3b8ab59e-9ef9-4e85-b2f3-9c8fb459fa7d,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_49,0.0,34.0,household_agent_48,150.0,0.0,54.0,150.0,88.0
1,,,household_agent_31,1.0,45.0,household_agent_32,125.0,0.0,61.0,125.0,106.0
2,,,household_agent_43,2.0,65.0,household_agent_42,74.0,0.0,47.0,74.0,112.0
3,,,household_agent_48,3.0,39.0,household_agent_49,63.0,0.0,53.0,63.0,92.0
4,,,household_agent_42,4.0,53.0,household_agent_43,135.0,0.0,51.0,135.0,104.0
5,,,household_agent_32,5.0,78.0,household_agent_31,177.0,0.0,62.0,177.0,140.0
6,,,household_agent_31,104900.0,12322.0,household_agent_32,177.0,140.0,62.0,177.0,12384.0
7,,,household_agent_32,105000.0,24022.0,household_agent_31,125.0,106.0,62.0,125.0,24084.0
8,,,household_agent_42,106000.0,17142.0,household_agent_43,74.0,112.0,47.0,74.0,17189.0
9,,,household_agent_43,106100.0,17853.0,household_agent_42,135.0,104.0,47.0,135.0,17900.0
10,,,household_agent_48,106600.0,19306.0,household_agent_49,150.0,88.0,53.0,150.0,19359.0
11,,,household_agent_49,106700.0,13809.0,household_agent_48,63.0,92.0,53.0,63.0,13862.0
