,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:50:35.828783,,,,,,,,,
1,Simulation configuration ID,a7085bbf-a57b-4293-bc01-3ab0dc19c6de,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_44,0.0,188.0,household_agent_43,319.0,0.0,53.0,319.0,241.0
1,,,household_agent_44,1.0,106.0,household_agent_45,623.0,0.0,49.0,536.0,155.0
2,,,household_agent_44,1.0,106.0,household_agent_45,623.0,0.0,83.0,87.0,189.0
3,,,household_agent_21,2.0,143.0,household_agent_22,435.0,0.0,55.0,435.0,198.0
4,,,household_agent_21,3.0,101.0,household_agent_43,705.0,0.0,3057.0,536.0,3158.0
5,,,household_agent_21,3.0,101.0,household_agent_43,705.0,0.0,3092.0,169.0,3193.0
6,,,household_agent_23,4.0,155.0,household_agent_22,835.0,0.0,54.0,536.0,209.0
7,,,household_agent_23,4.0,155.0,household_agent_22,835.0,0.0,89.0,299.0,244.0
8,,,household_agent_42,5.0,192.0,household_agent_43,668.0,0.0,45.0,536.0,237.0
9,,,household_agent_42,5.0,192.0,household_agent_43,668.0,0.0,79.0,132.0,271.0
10,,,household_agent_16,6.0,144.0,household_agent_17,310.0,0.0,47.0,310.0,191.0
11,,,household_agent_17,7.0,183.0,household_agent_16,849.0,0.0,49.0,536.0,232.0
12,,,household_agent_17,7.0,183.0,household_agent_16,849.0,0.0,83.0,313.0,266.0
13,,,household_agent_45,8.0,135.0,household_agent_44,934.0,0.0,49.0,536.0,184.0
14,,,household_agent_45,8.0,135.0,household_agent_44,934.0,0.0,80.0,398.0,215.0
15,,,household_agent_43,9.0,153.0,household_agent_21,907.0,0.0,1029.0,536.0,1182.0
16,,,household_agent_43,9.0,153.0,household_agent_21,907.0,0.0,1070.0,371.0,1223.0
17,,,household_agent_43,10.0,151.0,household_agent_42,251.0,0.0,53.0,251.0,204.0
18,,,household_agent_43,11.0,168.0,household_agent_44,963.0,0.0,56.0,536.0,224.0
19,,,household_agent_43,11.0,168.0,household_agent_44,963.0,0.0,101.0,427.0,269.0
20,,,household_agent_22,12.0,96.0,household_agent_21,547.0,0.0,51.0,536.0,147.0
21,,,household_agent_22,12.0,96.0,household_agent_21,547.0,0.0,84.0,11.0,180.0
22,,,household_agent_22,13.0,101.0,household_agent_23,740.0,0.0,58.0,536.0,159.0
23,,,household_agent_22,13.0,101.0,household_agent_23,740.0,0.0,96.0,204.0,197.0
