,Parameter,Value,sender
0,Start simulation,2025-01-22 06:33:25.381475,
1,Simulation configuration ID,e2248d9d-914a-45a3-9667-5cefcd3947ef,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,
3,Communication graph,Ring Overlay Topology with 326 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
