,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-02 01:35:44.703610,,,,,,,,,,,
1,Simulation configuration ID,10645bad-0747-4d4c-95e3-0a37294cc9f1,,,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,92.0,storage_agent_73,1291.0,346.0,True,44.0,storage_agent_74,106.0,536.0,162.0
1,,,0.0,92.0,storage_agent_73,1291.0,346.0,True,44.0,storage_agent_74,146.0,255.0,202.0
2,,,1.0,92.0,storage_agent_75,1293.0,528.0,True,94.0,storage_agent_74,60.0,521.0,134.0
