,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:31:57.102602,,,,,,,,,
1,Simulation configuration ID,6c4951b9-d388-4312-b838-c8e1ef03bb8a,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 332 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_60,0.0,164.0,household_agent_61,25.0,0.0,0.0,25.0,164.0
1,,,household_agent_61,1.0,174.0,household_agent_60,42.0,0.0,0.0,42.0,174.0
2,,,household_agent_63,2.0,167.0,household_agent_64,24.0,0.0,0.0,24.0,167.0
3,,,household_agent_64,3.0,123.0,household_agent_63,37.0,0.0,0.0,37.0,123.0
