,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-19 20:53:21.553163,,,,,,,,
1,Simulation configuration ID,bd98e8ce-872f-4164-8021-c5025e6bb77a,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,68.0,household_agent_94,1112.0,994.0,True,37.0,household_agent_93
1,,,1.0,68.0,household_agent_94,1112.0,856.0,True,15.0,household_agent_93
2,,,2.0,68.0,household_agent_94,1112.0,557.0,True,56.0,household_agent_93
3,,,3.0,68.0,household_agent_94,1112.0,526.0,True,75.0,household_agent_93
4,,,4.0,68.0,household_agent_94,1112.0,281.0,True,36.0,household_agent_93
