,Parameter,Value,sender,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms
0,Start simulation,2024-12-31 20:52:38.197528,,,,,,,,
1,Simulation configuration ID,97f2d022-f8d4-4ad1-bf4d-5c1a5220ae36,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,household_agent_24,0.0,74.0,household_agent_25,1049.0,119.0,True,258235.0
1,,,household_agent_24,2.0,300113.0,household_agent_25,1049.0,58.0,True,298089.0
0,,,household_agent_25,1.0,90.0,household_agent_24,1048.0,81.0,True,177500.0
1,,,household_agent_25,3.0,300143.0,household_agent_24,1048.0,108.0,True,109773.0
