,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 16:19:11.328113,,,,,,,,,
1,Simulation configuration ID,108ef73c-c911-455f-9fb0-5093dc1f9c1c,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_33,0.0,118.0,household_agent_34,35.0,0.0,41.0,35.0,159.0
1,,,household_agent_47,1.0,169.0,household_agent_48,13.0,0.0,37.0,13.0,206.0
2,,,household_agent_34,2.0,93.0,household_agent_33,31.0,0.0,41.0,31.0,134.0
3,,,household_agent_48,3.0,151.0,household_agent_47,44.0,0.0,47.0,44.0,198.0
4,,,household_agent_33,103600.0,4644.0,household_agent_34,31.0,134.0,41.0,31.0,4685.0
5,,,household_agent_34,103700.0,2340.0,household_agent_33,35.0,159.0,41.0,35.0,2381.0
6,,,household_agent_47,105000.0,3089.0,household_agent_48,44.0,198.0,41.0,44.0,3130.0
7,,,household_agent_48,105100.0,23886.0,household_agent_47,13.0,206.0,41.0,13.0,23927.0
