,Parameter,Value,sender
0,Start simulation,2025-01-19 21:26:37.472572,
1,Simulation configuration ID,16880f80-0b48-437e-aed5-26cab1a93bd8,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
