,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 20:56:57.275423,,,,,,,,,
1,Simulation configuration ID,bcfcf9b1-cde3-4f32-b802-6f8b27e041fa,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_9,0.0,49.0,household_agent_8,135.0,0.0,53.0,135.0,102.0
1,,,household_agent_7,1.0,131.0,household_agent_8,108.0,0.0,56.0,108.0,187.0
2,,,household_agent_12,2.0,87.0,household_agent_13,162.0,0.0,71.0,162.0,158.0
3,,,household_agent_82,3.0,106.0,household_agent_83,153.0,0.0,59.0,153.0,165.0
4,,,household_agent_13,4.0,84.0,household_agent_12,93.0,0.0,65.0,93.0,149.0
5,,,household_agent_8,5.0,105.0,household_agent_7,156.0,0.0,57.0,156.0,162.0
6,,,household_agent_8,6.0,130.0,household_agent_9,85.0,0.0,53.0,85.0,183.0
7,,,household_agent_83,7.0,111.0,household_agent_82,57.0,0.0,59.0,57.0,170.0
