,Parameter,Value,sender
0,Start simulation,2025-01-22 00:46:26.709188,
1,Simulation configuration ID,ff287844-d949-46d3-8642-7907f8f5919e,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Ring Overlay Topology with 330 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
