,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-19 21:59:26.492997,,,,,,,,
1,Simulation configuration ID,87d31c44-0cb2-4b0c-b319-4f6d15aede6f,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,23.0,household_agent_4,1022.0,807.0,True,56.0,generation_agent_83
1,,,1.0,23.0,household_agent_12,1030.0,493.0,True,60.0,generation_agent_83
2,,,2.0,23.0,household_agent_21,1039.0,512.0,True,59.0,generation_agent_83
3,,,3.0,23.0,household_agent_27,1045.0,201.0,True,62.0,generation_agent_83
4,,,4.0,23.0,household_agent_83,1101.0,722.0,True,52.0,generation_agent_83
5,,,5.0,23.0,generation_agent_21,1139.0,912.0,True,34.0,generation_agent_83
6,,,6.0,23.0,generation_agent_54,1172.0,369.0,True,51.0,generation_agent_83
7,,,7.0,23.0,generation_agent_70,1188.0,209.0,True,18.0,generation_agent_83
8,,,8.0,23.0,storage_agent_3,1221.0,774.0,True,29.0,generation_agent_83
9,,,9.0,23.0,storage_agent_14,1232.0,947.0,True,39.0,generation_agent_83
10,,,10.0,23.0,storage_agent_21,1239.0,559.0,True,41.0,generation_agent_83
11,,,11.0,23.0,storage_agent_54,1272.0,596.0,True,4.0,generation_agent_83
12,,,12.0,23.0,storage_agent_67,1285.0,931.0,True,41.0,generation_agent_83
13,,,13.0,23.0,storage_agent_68,1286.0,556.0,True,62.0,generation_agent_83
14,,,14.0,23.0,household_agent_4,1022.0,848.0,True,47.0,generation_agent_83
15,,,15.0,23.0,household_agent_12,1030.0,764.0,True,33.0,generation_agent_83
16,,,16.0,23.0,household_agent_21,1039.0,504.0,True,56.0,generation_agent_83
17,,,17.0,23.0,household_agent_27,1045.0,911.0,True,40.0,generation_agent_83
18,,,18.0,23.0,household_agent_83,1101.0,229.0,True,90.0,generation_agent_83
19,,,19.0,23.0,generation_agent_21,1139.0,380.0,True,25.0,generation_agent_83
20,,,20.0,23.0,generation_agent_54,1172.0,689.0,True,85.0,generation_agent_83
21,,,21.0,23.0,generation_agent_70,1188.0,632.0,True,6.0,generation_agent_83
22,,,22.0,23.0,storage_agent_3,1221.0,297.0,True,29.0,generation_agent_83
23,,,23.0,23.0,storage_agent_14,1232.0,522.0,True,15.0,generation_agent_83
24,,,24.0,23.0,storage_agent_21,1239.0,563.0,True,19.0,generation_agent_83
25,,,25.0,23.0,storage_agent_54,1272.0,283.0,True,45.0,generation_agent_83
26,,,26.0,23.0,storage_agent_67,1285.0,497.0,True,20.0,generation_agent_83
27,,,27.0,23.0,storage_agent_68,1286.0,527.0,True,100.0,generation_agent_83
28,,,28.0,23.0,household_agent_4,1022.0,630.0,True,54.0,generation_agent_83
29,,,29.0,23.0,household_agent_12,1030.0,548.0,True,11.0,generation_agent_83
30,,,30.0,23.0,household_agent_21,1039.0,992.0,True,93.0,generation_agent_83
31,,,31.0,23.0,household_agent_27,1045.0,772.0,True,24.0,generation_agent_83
32,,,32.0,23.0,household_agent_83,1101.0,851.0,True,92.0,generation_agent_83
33,,,33.0,23.0,generation_agent_21,1139.0,897.0,True,97.0,generation_agent_83
34,,,34.0,23.0,generation_agent_54,1172.0,346.0,True,92.0,generation_agent_83
35,,,35.0,23.0,generation_agent_70,1188.0,475.0,True,66.0,generation_agent_83
36,,,36.0,23.0,storage_agent_3,1221.0,900.0,True,72.0,generation_agent_83
37,,,37.0,23.0,storage_agent_14,1232.0,839.0,True,36.0,generation_agent_83
38,,,38.0,23.0,storage_agent_21,1239.0,439.0,True,46.0,generation_agent_83
39,,,39.0,23.0,storage_agent_54,1272.0,470.0,True,58.0,generation_agent_83
40,,,40.0,23.0,storage_agent_67,1285.0,232.0,True,29.0,generation_agent_83
41,,,41.0,23.0,storage_agent_68,1286.0,896.0,True,5.0,generation_agent_83
42,,,42.0,23.0,household_agent_4,1022.0,423.0,True,85.0,generation_agent_83
43,,,43.0,23.0,household_agent_12,1030.0,894.0,True,81.0,generation_agent_83
44,,,44.0,23.0,household_agent_21,1039.0,823.0,True,79.0,generation_agent_83
45,,,45.0,23.0,household_agent_27,1045.0,247.0,True,92.0,generation_agent_83
46,,,46.0,23.0,household_agent_83,1101.0,235.0,True,36.0,generation_agent_83
47,,,47.0,23.0,generation_agent_21,1139.0,727.0,True,36.0,generation_agent_83
48,,,48.0,23.0,generation_agent_54,1172.0,773.0,True,21.0,generation_agent_83
49,,,49.0,23.0,generation_agent_70,1188.0,758.0,True,90.0,generation_agent_83
50,,,50.0,23.0,storage_agent_3,1221.0,297.0,True,82.0,generation_agent_83
