,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:27:50.447791,,,,,,,,,
1,Simulation configuration ID,c5e04dde-25ad-4ded-a7d3-1f990b34ab94,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 332 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_4,2.0,281.0,household_agent_3,18.0,0.0,0.0,18.0,281.0
1,,,household_agent_3,1.0,57.0,household_agent_4,41.0,0.0,0.0,41.0,57.0
2,,,household_agent_3,3.0,270.0,household_agent_4,42.0,0.0,0.0,42.0,270.0
3,,,household_agent_3,102700.0,309.0,household_agent_4,18.0,281.0,0.0,18.0,309.0
4,,,household_agent_4,102800.0,72.0,household_agent_3,41.0,57.0,0.0,41.0,72.0
5,,,household_agent_4,102801.0,327.0,household_agent_3,42.0,270.0,0.0,42.0,327.0
