,Parameter,Value,sender
0,Start simulation,2025-01-22 01:00:05.617838,
1,Simulation configuration ID,2a818b4e-e317-4a5a-8b71-83a1b3e750c3,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Ring Overlay Topology with 332 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
