,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 15:54:13.343782,,,,,,,,,
1,Simulation configuration ID,e036c019-4847-447e-9803-d6d46dc75fdd,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 326 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_64,0.0,37.0,household_agent_63,19.0,0.0,0.0,19.0,37.0
1,,,household_agent_64,6.0,1141.0,household_agent_63,24.0,0.0,0.0,24.0,1141.0
2,,,household_agent_63,1.0,3.0,household_agent_64,28.0,0.0,0.0,28.0,3.0
3,,,household_agent_63,7.0,1137.0,household_agent_64,31.0,0.0,0.0,31.0,1137.0
4,,,household_agent_92,2.0,16.0,household_agent_84,8.0,0.0,0.0,8.0,16.0
5,,,household_agent_92,8.0,1138.0,household_agent_84,25.0,0.0,0.0,25.0,1138.0
6,,,household_agent_95,3.0,51.0,household_agent_96,46.0,0.0,0.0,46.0,51.0
7,,,household_agent_95,9.0,1134.0,household_agent_96,40.0,0.0,0.0,40.0,1134.0
8,,,household_agent_84,4.0,9.0,household_agent_92,8.0,0.0,0.0,8.0,9.0
9,,,household_agent_84,10.0,1199.0,household_agent_92,37.0,0.0,0.0,37.0,1199.0
10,,,household_agent_96,5.0,80.0,household_agent_95,26.0,0.0,0.0,26.0,80.0
11,,,household_agent_96,11.0,1165.0,household_agent_95,11.0,0.0,0.0,11.0,1165.0
12,,,household_agent_63,108100.0,778.0,household_agent_64,19.0,37.0,0.0,19.0,778.0
13,,,household_agent_63,108101.0,1294.0,household_agent_64,24.0,1141.0,0.0,24.0,1294.0
14,,,household_agent_64,108200.0,917.0,household_agent_63,28.0,3.0,0.0,28.0,917.0
15,,,household_agent_64,108201.0,1897.0,household_agent_63,31.0,1137.0,0.0,31.0,1897.0
16,,,household_agent_84,110200.0,331.0,household_agent_92,8.0,16.0,0.0,8.0,331.0
17,,,household_agent_84,110201.0,1365.0,household_agent_92,25.0,1138.0,0.0,25.0,1365.0
18,,,household_agent_92,111000.0,891.0,household_agent_84,8.0,9.0,0.0,8.0,891.0
19,,,household_agent_92,111001.0,2159.0,household_agent_84,37.0,1199.0,0.0,37.0,2159.0
20,,,household_agent_95,111300.0,606.0,household_agent_96,26.0,80.0,0.0,26.0,606.0
21,,,household_agent_95,111301.0,1463.0,household_agent_96,11.0,1165.0,0.0,11.0,1463.0
22,,,household_agent_96,111400.0,612.0,household_agent_95,46.0,51.0,0.0,46.0,612.0
23,,,household_agent_96,111401.0,1742.0,household_agent_95,40.0,1134.0,0.0,40.0,1742.0
