,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-21 20:05:58.357410,,,,,,,,,
1,Simulation configuration ID,3ea40027-5aad-47c7-9118-055d347700fc,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,grid_infrastructure_agent_17,0.0,8.0,grid_infrastructure_agent_16,122.0,0.0,61.0,122.0,69.0
1,,,grid_infrastructure_agent_16,1.0,8.0,grid_infrastructure_agent_17,104.0,0.0,61.0,104.0,69.0
2,,,grid_infrastructure_agent_16,101600.0,542.0,grid_infrastructure_agent_17,122.0,69.0,62.0,122.0,604.0
3,,,grid_infrastructure_agent_17,101700.0,498.0,grid_infrastructure_agent_16,104.0,69.0,61.0,104.0,559.0
