,Parameter,Value,sender
0,Start simulation,2025-01-17 20:13:40.707985,
1,Simulation configuration ID,8d2cbca0-331f-4081-a159-2a21b4486b9c,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
