,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 00:54:38.001953,,,,,,,,,
1,Simulation configuration ID,5e277a39-7e21-4780-9beb-e8e985890bcd,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_58,0.0,116.0,household_agent_59,136.0,0.0,72.0,136.0,188.0
1,,,household_agent_19,1.0,131.0,household_agent_20,162.0,0.0,56.0,162.0,187.0
2,,,household_agent_20,2.0,95.0,household_agent_19,98.0,0.0,53.0,98.0,148.0
3,,,household_agent_59,3.0,123.0,household_agent_58,70.0,0.0,60.0,70.0,183.0
