,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 15:05:57.539605,,,,,,,,,
1,Simulation configuration ID,5f9c784b-9790-498d-bbff-0aa10b5f4210,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_45,0.0,124.0,household_agent_44,132.0,0.0,47.0,132.0,171.0
1,,,household_agent_45,4.0,1208.0,household_agent_44,182.0,0.0,47.0,182.0,1255.0
2,,,household_agent_94,1.0,95.0,household_agent_93,154.0,0.0,56.0,154.0,151.0
3,,,household_agent_94,5.0,1207.0,household_agent_93,101.0,0.0,55.0,101.0,1262.0
4,,,household_agent_44,2.0,159.0,household_agent_45,123.0,0.0,47.0,123.0,206.0
5,,,household_agent_44,6.0,1168.0,household_agent_45,97.0,0.0,47.0,97.0,1215.0
6,,,household_agent_93,3.0,94.0,household_agent_94,54.0,0.0,53.0,54.0,147.0
7,,,household_agent_93,7.0,1263.0,household_agent_94,124.0,0.0,59.0,124.0,1322.0
8,,,household_agent_44,106200.0,1077.0,household_agent_45,132.0,171.0,47.0,132.0,1124.0
9,,,household_agent_44,106201.0,1751.0,household_agent_45,182.0,1255.0,47.0,182.0,1798.0
10,,,household_agent_45,106300.0,371.0,household_agent_44,123.0,206.0,47.0,123.0,418.0
11,,,household_agent_45,106301.0,1604.0,household_agent_44,97.0,1215.0,47.0,97.0,1651.0
12,,,household_agent_93,111100.0,879.0,household_agent_94,154.0,151.0,53.0,154.0,932.0
13,,,household_agent_93,111101.0,1499.0,household_agent_94,101.0,1262.0,53.0,101.0,1552.0
14,,,household_agent_94,111200.0,880.0,household_agent_93,54.0,147.0,54.0,54.0,934.0
15,,,household_agent_94,111201.0,1839.0,household_agent_93,124.0,1322.0,56.0,124.0,1895.0
