,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 10:34:30.891183,,,,,,,,,
1,Simulation configuration ID,84464b2a-7725-49f0-b83b-ebb6e9b33212,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_62,1.0,63.0,household_agent_95,63.0,0.0,63.0,63.0,126.0
1,,,household_agent_62,10.0,1172.0,household_agent_63,56.0,0.0,10087.0,56.0,11259.0
2,,,household_agent_95,5.0,73.0,household_agent_62,135.0,0.0,9068.0,135.0,9141.0
3,,,household_agent_95,111300.0,1074.0,household_agent_62,63.0,126.0,148.0,63.0,1222.0
