,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:09:25.675059,,,,,,,,,
1,Simulation configuration ID,f8db9fbe-ffce-487a-ada7-723eac843cf2,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_1,0.0,117.0,household_agent_2,17.0,0.0,47.0,17.0,164.0
1,,,household_agent_2,1.0,136.0,household_agent_1,42.0,0.0,48.0,42.0,184.0
2,,,household_agent_2,2.0,149.0,household_agent_3,50.0,0.0,58.0,50.0,207.0
3,,,household_agent_37,3.0,103.0,household_agent_38,38.0,0.0,47.0,38.0,150.0
4,,,household_agent_38,4.0,126.0,household_agent_37,41.0,0.0,44.0,41.0,170.0
5,,,household_agent_4,5.0,111.0,household_agent_3,30.0,0.0,54.0,30.0,165.0
6,,,household_agent_3,6.0,177.0,household_agent_2,12.0,0.0,55.0,12.0,232.0
7,,,household_agent_3,7.0,128.0,household_agent_4,41.0,0.0,54.0,41.0,182.0
