,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 20:11:35.127228,,,,,,,,,
1,Simulation configuration ID,3861751d-b034-482f-b044-d54856898655,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_14,2.0,55.0,household_agent_13,149.0,0.0,59.0,149.0,114.0
1,,,household_agent_14,8.0,1181.0,household_agent_13,111.0,0.0,56.0,111.0,1237.0
2,,,household_agent_13,4.0,109.0,household_agent_14,95.0,0.0,59.0,95.0,168.0
3,,,household_agent_13,10.0,1118.0,household_agent_14,73.0,0.0,59.0,73.0,1177.0
4,,,household_agent_37,5.0,118.0,household_agent_38,153.0,0.0,1058.0,153.0,1176.0
5,,,household_agent_13,103700.0,893.0,household_agent_14,149.0,114.0,59.0,149.0,952.0
6,,,household_agent_13,103701.0,1646.0,household_agent_14,111.0,1237.0,59.0,111.0,1705.0
7,,,household_agent_14,103800.0,1104.0,household_agent_13,95.0,168.0,64.0,95.0,1168.0
8,,,household_agent_14,103801.0,1539.0,household_agent_13,73.0,1177.0,59.0,73.0,1598.0
