,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:00:14.522757,,,,,,,,,
1,Simulation configuration ID,75ab7c99-526e-4c03-8fb6-a605b4d26d26,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_46,0.0,145.0,household_agent_45,221.0,0.0,47.0,221.0,192.0
1,,,household_agent_45,1.0,179.0,household_agent_5,260.0,0.0,44.0,260.0,223.0
2,,,household_agent_45,2.0,84.0,household_agent_46,343.0,0.0,47.0,343.0,131.0
3,,,household_agent_5,3.0,159.0,household_agent_4,925.0,0.0,50.0,536.0,209.0
4,,,household_agent_5,3.0,159.0,household_agent_4,925.0,0.0,84.0,389.0,243.0
5,,,household_agent_5,4.0,87.0,household_agent_45,832.0,0.0,47.0,536.0,134.0
6,,,household_agent_5,4.0,87.0,household_agent_45,832.0,0.0,77.0,296.0,164.0
7,,,household_agent_29,5.0,165.0,household_agent_30,311.0,0.0,48.0,311.0,213.0
8,,,household_agent_30,6.0,138.0,household_agent_29,297.0,0.0,47.0,297.0,185.0
9,,,household_agent_4,7.0,131.0,household_agent_5,472.0,0.0,53.0,472.0,184.0
