,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 19:44:08.075882,,,,,,,,,,,
1,Simulation configuration ID,b487e0b5-ccb0-4988-a835-a74dae450176,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,57.0,generation_agent_35,1159.0,117.0,True,45.0,generation_agent_36,54.0,111.0,63.0
1,,,1.0,57.0,generation_agent_37,1161.0,121.0,True,73.0,generation_agent_36,60.0,164.0,145.0
2,,,2.0,57.0,grid_infrastructure_agent_23,1023.0,182.0,True,99.0,generation_agent_36,4063.0,143.0,4111.0
