,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-02 05:08:58.218411,,,,,,,,,,,
1,Simulation configuration ID,6ed73fd6-5006-44d4-9953-037ef1ced494,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,66.0,household_agent_0,1024.0,949.0,True,6794.0,household_agent_1,71.0,536.0,84.0
1,,,0.0,66.0,household_agent_0,1024.0,949.0,True,6794.0,household_agent_1,109.0,413.0,122.0
2,,,1.0,66.0,household_agent_2,1026.0,717.0,True,29437.0,household_agent_1,309.0,374.0,369.0
