,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 16:59:32.759492,,,,,,,,,
1,Simulation configuration ID,f636f955-6716-46ac-ac56-07648086560f,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_20,0.0,51.0,household_agent_19,740.0,0.0,47.0,536.0,98.0
1,,,household_agent_20,0.0,51.0,household_agent_19,740.0,0.0,81.0,204.0,132.0
2,,,household_agent_22,1.0,120.0,household_agent_23,418.0,0.0,47.0,418.0,167.0
3,,,household_agent_33,2.0,49.0,household_agent_34,869.0,0.0,47.0,536.0,96.0
4,,,household_agent_33,2.0,49.0,household_agent_34,869.0,0.0,81.0,333.0,130.0
5,,,household_agent_19,3.0,113.0,household_agent_20,878.0,0.0,47.0,536.0,160.0
6,,,household_agent_19,3.0,113.0,household_agent_20,878.0,0.0,81.0,342.0,194.0
7,,,household_agent_34,4.0,66.0,household_agent_33,377.0,0.0,44.0,377.0,110.0
8,,,household_agent_23,5.0,106.0,household_agent_22,852.0,0.0,47.0,536.0,153.0
9,,,household_agent_23,5.0,106.0,household_agent_22,852.0,0.0,81.0,316.0,187.0
