,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 18:18:44.965387,,,,,,,,,
1,Simulation configuration ID,512c0c03-416c-4359-b089-8017b33514dc,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_44,0.0,55.0,household_agent_45,20.0,0.0,59.0,20.0,114.0
1,,,household_agent_44,2.0,297.0,household_agent_45,40.0,0.0,63.0,40.0,360.0
2,,,household_agent_45,1.0,98.0,household_agent_44,14.0,0.0,59.0,14.0,157.0
3,,,household_agent_45,3.0,310.0,household_agent_44,20.0,0.0,59.0,20.0,369.0
4,,,household_agent_44,106800.0,207.0,household_agent_45,14.0,157.0,59.0,14.0,266.0
5,,,household_agent_44,106801.0,379.0,household_agent_45,20.0,369.0,61.0,20.0,440.0
6,,,household_agent_45,106900.0,163.0,household_agent_44,20.0,114.0,59.0,20.0,222.0
7,,,household_agent_45,106901.0,432.0,household_agent_44,40.0,360.0,59.0,40.0,491.0
