,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 20:34:34.482610,,,,,,,,,
1,Simulation configuration ID,cfc93adc-ea8b-4116-9108-e657116fdb95,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_90,0.0,88.0,household_agent_89,67.0,0.0,53.0,67.0,141.0
1,,,household_agent_89,1.0,89.0,household_agent_90,170.0,0.0,53.0,170.0,142.0
2,,,household_agent_89,111300.0,16530.0,household_agent_90,67.0,141.0,53.0,67.0,16583.0
3,,,household_agent_90,111400.0,6978.0,household_agent_89,170.0,142.0,53.0,170.0,7031.0
