,Parameter,Value,sender,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms
0,Start simulation,2025-01-01 00:34:49.726473,,,,,,,,
1,Simulation configuration ID,0318fef3-f6aa-470a-b6a4-2a5fe9d514e3,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,household_agent_28,0.0,70.0,household_agent_14,1038.0,97.0,True,38.0
1,,,household_agent_28,4.0,261.0,household_agent_14,1038.0,133.0,True,16.0
0,,,household_agent_14,1.0,55.0,household_agent_13,1037.0,103.0,True,37.0
1,,,household_agent_14,2.0,43.0,household_agent_28,1052.0,119.0,True,1.0
2,,,household_agent_14,5.0,283.0,household_agent_13,1037.0,68.0,True,60.0
3,,,household_agent_14,6.0,311.0,household_agent_28,1052.0,142.0,True,84.0
0,,,household_agent_13,3.0,58.0,household_agent_14,1038.0,137.0,True,5.0
1,,,household_agent_13,7.0,230.0,household_agent_14,1038.0,52.0,True,96.0
