,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 00:19:35.544018,,,,,,,,,
1,Simulation configuration ID,614848b5-cf54-431c-b5d9-115144abd3ab,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_83,0.0,130.0,household_agent_84,22.0,0.0,55.0,22.0,185.0
1,,,household_agent_84,1.0,39.0,household_agent_83,9.0,0.0,53.0,9.0,92.0
2,,,household_agent_83,110700.0,18845.0,household_agent_84,9.0,92.0,55.0,9.0,18900.0
3,,,household_agent_84,110800.0,16013.0,household_agent_83,22.0,185.0,53.0,22.0,16066.0
