,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 19:44:25.133941,,,,,,,,,
1,Simulation configuration ID,c10a6d13-0db9-4ed2-8b72-29e22931f9a8,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_21,1.0,116.0,household_agent_20,105.0,0.0,65.0,105.0,181.0
1,,,household_agent_21,7.0,340.0,household_agent_20,99.0,0.0,59.0,99.0,399.0
2,,,household_agent_15,2.0,98.0,household_agent_16,143.0,0.0,53.0,143.0,151.0
3,,,household_agent_15,8.0,324.0,household_agent_16,177.0,0.0,53.0,177.0,377.0
4,,,household_agent_16,3.0,136.0,household_agent_15,175.0,0.0,53.0,175.0,189.0
5,,,household_agent_16,9.0,296.0,household_agent_15,155.0,0.0,72.0,155.0,368.0
6,,,household_agent_20,5.0,167.0,household_agent_21,122.0,0.0,59.0,122.0,226.0
7,,,household_agent_20,11.0,281.0,household_agent_21,115.0,0.0,74.0,115.0,355.0
8,,,household_agent_15,103900.0,244.0,household_agent_16,175.0,189.0,53.0,175.0,297.0
9,,,household_agent_15,103901.0,413.0,household_agent_16,155.0,368.0,48.0,155.0,461.0
10,,,household_agent_16,104000.0,181.0,household_agent_15,143.0,151.0,53.0,143.0,234.0
11,,,household_agent_16,104001.0,387.0,household_agent_15,177.0,377.0,49.0,177.0,436.0
12,,,household_agent_20,104400.0,222.0,household_agent_21,105.0,181.0,59.0,105.0,281.0
13,,,household_agent_20,104401.0,494.0,household_agent_21,99.0,399.0,59.0,99.0,553.0
14,,,household_agent_21,104500.0,248.0,household_agent_20,122.0,226.0,64.0,122.0,312.0
15,,,household_agent_21,104501.0,381.0,household_agent_20,115.0,355.0,58.0,115.0,439.0
