,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 15:21:13.886434,,,,,,,,,
1,Simulation configuration ID,f7e5d634-77ec-4b65-8173-dcc96f601263,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_41,0.0,114.0,household_agent_42,105.0,0.0,47.0,105.0,161.0
1,,,household_agent_3,2.0,43.0,household_agent_32,113.0,0.0,53.0,113.0,96.0
2,,,household_agent_43,3.0,88.0,household_agent_42,78.0,0.0,47.0,78.0,135.0
3,,,household_agent_32,4.0,87.0,household_agent_3,125.0,0.0,54.0,125.0,141.0
4,,,household_agent_42,5.0,107.0,household_agent_41,187.0,0.0,64.0,187.0,171.0
5,,,household_agent_42,6.0,110.0,household_agent_43,156.0,0.0,50.0,156.0,160.0
