,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-29 17:41:31.175558,,,,,,
1,Simulation configuration ID,ba8ceef6-614d-49e0-b08b-0b73623f0b42,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,
0,,,0.0,11.0,generation_agent_32,1150.0,41.0,control_center_agent
0,,,1.0,27.0,generation_agent_31,1149.0,41.0,generation_agent_32
1,,,2.0,27.0,generation_agent_33,1151.0,41.0,generation_agent_32
2,,,3.0,516.0,control_center_agent,1319.0,41.0,generation_agent_32
