,Parameter,Value,sender
0,Start simulation,2025-01-12 02:17:25.154001,
1,Simulation configuration ID,09ab17d4-c018-4b69-8e2a-fd44f9779cb3,
2,Network,SimbenchNetwork_Ethernet_1-LV-semiurb4--1-no_sw,
3,Communication graph,Ring Overlay Topology with 67 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
