,Parameter,Value,sender
0,Start simulation,2025-01-16 05:17:16.222590,
1,Simulation configuration ID,748c44a2-2895-427e-aa5f-c4c1e5b58a4c,
2,Network,SimbenchNetwork_Ethernet_1-LV-semiurb4--1-no_sw,
3,Communication graph,Ring Overlay Topology with 67 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
