,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 19:39:28.316223,,,,,,,,,,,
1,Simulation configuration ID,5edd439f-401b-4cb7-af9e-2800341028f5,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,27.0,household_agent_56,1080.0,189.0,True,51.0,household_agent_57,54.0,111.0,63.0
1,,,1.0,27.0,household_agent_58,1082.0,131.0,True,0.0,household_agent_57,60.0,164.0,145.0
