,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 22:27:22.493898,,,,,,,,,
1,Simulation configuration ID,0179f1bf-da37-4057-8d85-655f79473742,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_12,2.0,75.0,household_agent_11,388.0,0.0,84.0,388.0,159.0
1,,,household_agent_11,4.0,162.0,household_agent_12,366.0,0.0,57.0,366.0,219.0
2,,,household_agent_35,7.0,117.0,household_agent_36,855.0,0.0,77.0,536.0,194.0
3,,,household_agent_35,7.0,117.0,household_agent_36,855.0,0.0,135.0,319.0,252.0
