,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:21:36.287819,,,,,,,,,
1,Simulation configuration ID,3754a1b6-9cdf-4257-9fd2-7af696158b03,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_33,0.0,129.0,household_agent_34,343.0,0.0,48.0,343.0,177.0
1,,,household_agent_33,8.0,1268.0,household_agent_34,479.0,0.0,48.0,479.0,1316.0
2,,,household_agent_35,1.0,138.0,household_agent_34,847.0,0.0,53.0,536.0,191.0
3,,,household_agent_35,1.0,138.0,household_agent_34,847.0,0.0,87.0,311.0,225.0
4,,,household_agent_35,9.0,1256.0,household_agent_34,249.0,0.0,48.0,249.0,1304.0
5,,,household_agent_34,2.0,116.0,household_agent_33,553.0,0.0,54.0,536.0,170.0
6,,,household_agent_34,2.0,116.0,household_agent_33,553.0,0.0,82.0,17.0,198.0
7,,,household_agent_34,3.0,127.0,household_agent_35,315.0,0.0,53.0,315.0,180.0
8,,,household_agent_34,10.0,1259.0,household_agent_33,594.0,0.0,50.0,536.0,1309.0
9,,,household_agent_34,10.0,1259.0,household_agent_33,594.0,0.0,84.0,58.0,1343.0
10,,,household_agent_34,11.0,1230.0,household_agent_35,858.0,0.0,49.0,536.0,1279.0
11,,,household_agent_34,11.0,1230.0,household_agent_35,858.0,0.0,89.0,322.0,1319.0
12,,,household_agent_43,4.0,132.0,household_agent_44,239.0,0.0,47.0,239.0,179.0
13,,,household_agent_43,12.0,1198.0,household_agent_44,1000.0,0.0,49.0,536.0,1247.0
14,,,household_agent_43,12.0,1198.0,household_agent_44,1000.0,0.0,85.0,464.0,1283.0
15,,,household_agent_44,5.0,149.0,household_agent_43,853.0,0.0,52.0,536.0,201.0
16,,,household_agent_44,5.0,149.0,household_agent_43,853.0,0.0,86.0,317.0,235.0
17,,,household_agent_44,13.0,1194.0,household_agent_43,668.0,0.0,49.0,536.0,1243.0
18,,,household_agent_44,13.0,1194.0,household_agent_43,668.0,0.0,83.0,132.0,1277.0
19,,,household_agent_48,6.0,170.0,household_agent_49,922.0,0.0,49.0,536.0,219.0
20,,,household_agent_48,6.0,170.0,household_agent_49,922.0,0.0,83.0,386.0,253.0
21,,,household_agent_48,14.0,1213.0,household_agent_49,940.0,0.0,49.0,536.0,1262.0
22,,,household_agent_48,14.0,1213.0,household_agent_49,940.0,0.0,83.0,404.0,1296.0
23,,,household_agent_49,7.0,106.0,household_agent_48,777.0,0.0,50.0,536.0,156.0
24,,,household_agent_49,7.0,106.0,household_agent_48,777.0,0.0,86.0,241.0,192.0
25,,,household_agent_49,15.0,1237.0,household_agent_48,618.0,0.0,49.0,536.0,1286.0
26,,,household_agent_49,15.0,1237.0,household_agent_48,618.0,0.0,80.0,82.0,1317.0
27,,,household_agent_33,103600.0,1031.0,household_agent_34,553.0,170.0,50.0,536.0,1081.0
28,,,household_agent_33,103600.0,1031.0,household_agent_34,553.0,170.0,78.0,17.0,1109.0
29,,,household_agent_33,103601.0,1059.0,household_agent_34,553.0,198.0,64.0,536.0,1123.0
30,,,household_agent_33,103601.0,1059.0,household_agent_34,553.0,198.0,92.0,17.0,1151.0
31,,,household_agent_33,103602.0,1537.0,household_agent_34,594.0,1309.0,49.0,536.0,1586.0
