,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2024-12-31 12:30:41.754296,,,,,,,,
1,Simulation configuration ID,bb393f08-ce16-49bc-9420-8b6753535738,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,107.0,household_agent_64,1082.0,653.0,True,24062.0,household_agent_63
1,,,2.0,30265.0,household_agent_64,1082.0,737.0,True,6780.0,household_agent_63
0,,,1.0,96.0,household_agent_63,1081.0,894.0,True,4719.0,household_agent_64
1,,,3.0,30264.0,household_agent_63,1081.0,402.0,True,15147.0,household_agent_64
