,Parameter,Value,sender
0,Start simulation,2025-01-22 01:30:35.466096,
1,Simulation configuration ID,02ea2bed-41f7-4725-8f61-3aeb6b9c390f,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,
3,Communication graph,Ring Overlay Topology with 324 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
