,Parameter,Value,sender,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms
0,Start simulation,2025-01-21 23:11:01.340937,,,,,,,,
1,Simulation configuration ID,fbefa23c-d75d-405d-871e-9de113597ef0,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,grid_infrastructure_agent_9,0.0,59.0,grid_infrastructure_agent_8,1008.0,181.0,True,153209.0
0,,,grid_infrastructure_agent_8,1.0,59.0,grid_infrastructure_agent_9,1009.0,147.0,True,75354.0
