,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 00:20:40.418844,,,,,,
1,Simulation configuration ID,3a41e809-b2f0-4099-9100-1f368db5a2fa,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,68.0,aggregator_agent,1318.0,41.0,control_center_agent
0,,,1.0,188.0,generation_agent_92,1210.0,41.0,aggregator_agent
1,,,5.0,403632.0,control_center_agent,1319.0,41.0,aggregator_agent
0,,,2.0,183444.0,generation_agent_91,1209.0,41.0,generation_agent_92
1,,,3.0,183444.0,generation_agent_93,1211.0,41.0,generation_agent_92
2,,,4.0,271171.0,aggregator_agent,1318.0,41.0,generation_agent_92
