,Parameter,Value,sender
0,Start simulation,2025-01-21 12:12:18.600366,
1,Simulation configuration ID,34b7c080-c046-4fc9-858c-36f7a403d1d1,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,
3,Communication graph,Ring Overlay Topology with 324 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
