,Parameter,Value,sender
0,Start simulation,2025-01-21 23:38:59.264312,
1,Simulation configuration ID,6bf1d0ec-d9ae-47bf-9e1e-2b7b1fd00b32,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Ring Overlay Topology with 332 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
