,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 00:57:40.446595,,,,,,
1,Simulation configuration ID,8c13a970-007f-4873-aaec-e6b5835e76a9,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,38.0,aggregator_agent,1318.0,41.0,control_center_agent
0,,,1.0,112.0,generation_agent_44,1162.0,41.0,aggregator_agent
1,,,5.0,314405.0,control_center_agent,1319.0,41.0,aggregator_agent
0,,,2.0,137276.0,generation_agent_43,1161.0,41.0,generation_agent_44
1,,,3.0,137276.0,generation_agent_45,1163.0,41.0,generation_agent_44
2,,,4.0,202799.0,aggregator_agent,1318.0,41.0,generation_agent_44
