,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 15:58:18.491916,,,,,,,,,
1,Simulation configuration ID,15624ef4-31f1-4196-ab6d-87b84ee7cae2,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 326 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_61,0.0,29.0,household_agent_60,174.0,0.0,0.0,174.0,29.0
1,,,household_agent_61,6.0,240.0,household_agent_60,95.0,0.0,0.0,95.0,240.0
2,,,household_agent_32,1.0,45.0,household_agent_33,191.0,0.0,0.0,191.0,45.0
3,,,household_agent_32,7.0,277.0,household_agent_33,182.0,0.0,0.0,182.0,277.0
4,,,household_agent_60,2.0,58.0,household_agent_59,112.0,0.0,0.0,112.0,58.0
5,,,household_agent_60,3.0,57.0,household_agent_61,132.0,0.0,0.0,132.0,57.0
6,,,household_agent_60,8.0,246.0,household_agent_59,98.0,0.0,0.0,98.0,246.0
7,,,household_agent_60,9.0,239.0,household_agent_61,120.0,0.0,0.0,120.0,239.0
8,,,household_agent_59,4.0,66.0,household_agent_60,170.0,0.0,0.0,170.0,66.0
9,,,household_agent_59,10.0,283.0,household_agent_60,80.0,0.0,0.0,80.0,283.0
10,,,household_agent_33,5.0,86.0,household_agent_32,141.0,0.0,0.0,141.0,86.0
11,,,household_agent_33,11.0,260.0,household_agent_32,76.0,0.0,0.0,76.0,260.0
12,,,household_agent_32,105000.0,93.0,household_agent_33,141.0,86.0,0.0,141.0,93.0
13,,,household_agent_32,105001.0,331.0,household_agent_33,76.0,260.0,0.0,76.0,331.0
14,,,household_agent_33,105100.0,100.0,household_agent_32,191.0,45.0,0.0,191.0,100.0
15,,,household_agent_33,105101.0,297.0,household_agent_32,182.0,277.0,0.0,182.0,297.0
16,,,household_agent_59,107700.0,136.0,household_agent_60,112.0,58.0,0.0,112.0,136.0
17,,,household_agent_59,107701.0,275.0,household_agent_60,98.0,246.0,0.0,98.0,275.0
18,,,household_agent_60,107800.0,35.0,household_agent_61,174.0,29.0,0.0,174.0,35.0
19,,,household_agent_60,107801.0,148.0,household_agent_59,170.0,66.0,0.0,170.0,148.0
20,,,household_agent_60,107802.0,319.0,household_agent_61,95.0,240.0,0.0,95.0,319.0
21,,,household_agent_60,107803.0,312.0,household_agent_59,80.0,283.0,0.0,80.0,312.0
22,,,household_agent_61,107900.0,93.0,household_agent_60,132.0,57.0,0.0,132.0,93.0
23,,,household_agent_61,107901.0,247.0,household_agent_60,120.0,239.0,0.0,120.0,247.0
