,Parameter,Value,sender
0,Start simulation,2025-01-22 05:03:39.050177,
1,Simulation configuration ID,08375ad9-78a9-4c87-9be4-4aaff2b0d89a,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Ring Overlay Topology with 332 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
