,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-31 13:33:34.855661,,,,,,
1,Simulation configuration ID,d66fe046-f27f-426a-9e1e-0c812ef7aa9c,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Star Overlay Topology with 324 agents,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,19.0,aggregator_agent,1318.0,63.0,market_agent
0,,,1.0,21.0,aggregator_agent,1318.0,55.0,grid_operator_agent
0,,,2.0,24.0,aggregator_agent,1318.0,197.0,household_agent_53
0,,,3.0,99.0,aggregator_agent,1318.0,111.0,household_agent_58
0,,,4.0,65.0,aggregator_agent,1318.0,197.0,household_agent_42
0,,,5.0,23.0,aggregator_agent,1318.0,144.0,household_agent_11
0,,,6.0,115.0,aggregator_agent,1318.0,126.0,household_agent_65
0,,,7.0,72.0,aggregator_agent,1318.0,84.0,household_agent_31
0,,,8.0,77.0,aggregator_agent,1318.0,103.0,household_agent_73
0,,,9.0,34.0,aggregator_agent,1318.0,94.0,household_agent_12
0,,,10.0,82.0,aggregator_agent,1318.0,199.0,household_agent_63
0,,,11.0,110.0,aggregator_agent,1318.0,64.0,household_agent_14
0,,,12.0,55.0,aggregator_agent,1318.0,96.0,household_agent_69
0,,,13.0,83.0,aggregator_agent,1318.0,51.0,household_agent_70
0,,,14.0,48.0,aggregator_agent,1318.0,121.0,household_agent_89
0,,,15.0,23.0,aggregator_agent,1318.0,83.0,household_agent_8
0,,,16.0,115.0,aggregator_agent,1318.0,195.0,household_agent_44
