,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 22:39:41.955027,,,,,,,,,
1,Simulation configuration ID,aace8f98-9e6d-4631-a83e-018ead3866ee,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_90,0.0,125.0,household_agent_89,14.0,0.0,59.0,14.0,184.0
1,,,household_agent_90,8.0,289.0,household_agent_89,9.0,0.0,101.0,9.0,390.0
2,,,household_agent_16,1.0,149.0,household_agent_17,45.0,0.0,59.0,45.0,208.0
3,,,household_agent_16,9.0,323.0,household_agent_17,8.0,0.0,92.0,8.0,415.0
4,,,household_agent_46,2.0,103.0,household_agent_45,44.0,0.0,56.0,44.0,159.0
5,,,household_agent_46,10.0,362.0,household_agent_45,13.0,0.0,59.0,13.0,421.0
6,,,household_agent_98,3.0,67.0,household_agent_99,11.0,0.0,59.0,11.0,126.0
7,,,household_agent_98,11.0,271.0,household_agent_99,40.0,0.0,59.0,40.0,330.0
8,,,household_agent_99,4.0,67.0,household_agent_98,45.0,0.0,61.0,45.0,128.0
9,,,household_agent_99,12.0,348.0,household_agent_98,21.0,0.0,60.0,21.0,408.0
10,,,household_agent_45,5.0,80.0,household_agent_46,19.0,0.0,59.0,19.0,139.0
11,,,household_agent_45,13.0,315.0,household_agent_46,48.0,0.0,59.0,48.0,374.0
12,,,household_agent_89,6.0,152.0,household_agent_90,19.0,0.0,63.0,19.0,215.0
13,,,household_agent_89,14.0,312.0,household_agent_90,12.0,0.0,59.0,12.0,371.0
14,,,household_agent_17,7.0,139.0,household_agent_16,25.0,0.0,60.0,25.0,199.0
15,,,household_agent_17,15.0,302.0,household_agent_16,20.0,0.0,59.0,20.0,361.0
16,,,household_agent_16,104000.0,299.0,household_agent_17,25.0,199.0,82.0,25.0,381.0
17,,,household_agent_16,104001.0,420.0,household_agent_17,20.0,361.0,59.0,20.0,479.0
18,,,household_agent_17,104100.0,245.0,household_agent_16,45.0,208.0,59.0,45.0,304.0
19,,,household_agent_17,104101.0,440.0,household_agent_16,8.0,415.0,59.0,8.0,499.0
20,,,household_agent_45,106900.0,257.0,household_agent_46,44.0,159.0,59.0,44.0,316.0
21,,,household_agent_45,106901.0,430.0,household_agent_46,13.0,421.0,62.0,13.0,492.0
22,,,household_agent_46,107000.0,162.0,household_agent_45,19.0,139.0,59.0,19.0,221.0
23,,,household_agent_46,107001.0,404.0,household_agent_45,48.0,374.0,57.0,48.0,461.0
24,,,household_agent_89,111300.0,220.0,household_agent_90,14.0,184.0,59.0,14.0,279.0
25,,,household_agent_89,111301.0,441.0,household_agent_90,9.0,390.0,60.0,9.0,501.0
26,,,household_agent_90,111400.0,267.0,household_agent_89,19.0,215.0,83.0,19.0,350.0
27,,,household_agent_90,111401.0,372.0,household_agent_89,12.0,371.0,58.0,12.0,430.0
28,,,household_agent_98,112200.0,217.0,household_agent_99,45.0,128.0,60.0,45.0,277.0
29,,,household_agent_98,112201.0,502.0,household_agent_99,21.0,408.0,59.0,21.0,561.0
30,,,household_agent_99,112300.0,211.0,household_agent_98,11.0,126.0,61.0,11.0,272.0
31,,,household_agent_99,112301.0,393.0,household_agent_98,40.0,330.0,68.0,40.0,461.0
