,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 00:26:33.028906,,,,,,,,,
1,Simulation configuration ID,46e302c6-703e-454d-9b16-0e929cdc6f68,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_90,0.0,109.0,household_agent_91,10.0,0.0,53.0,10.0,162.0
1,,,household_agent_3,3.0,137.0,household_agent_2,46.0,0.0,65.0,46.0,202.0
2,,,household_agent_91,4.0,92.0,household_agent_90,49.0,0.0,61.0,49.0,153.0
3,,,household_agent_2,5.0,104.0,household_agent_3,34.0,0.0,64.0,34.0,168.0
