,Parameter,Value,sender
0,Start simulation,2024-12-31 22:04:47.127421,
1,Simulation configuration ID,080eec51-1c88-4bfb-9824-03ee459272ee,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,
4,Agent communication pattern,EVManagementSystem,
5,Trigger Type,EVENT_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
