,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:28:06.584614,,,,,,,,,
1,Simulation configuration ID,41c170c4-f015-4cc3-8df9-0f8c3e49db5f,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 332 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_71,0.0,119.0,household_agent_72,22.0,0.0,0.0,22.0,119.0
1,,,household_agent_71,4.0,317.0,household_agent_72,36.0,0.0,0.0,36.0,317.0
2,,,household_agent_14,1.0,54.0,household_agent_15,18.0,0.0,0.0,18.0,54.0
3,,,household_agent_14,5.0,266.0,household_agent_15,40.0,0.0,0.0,40.0,266.0
4,,,household_agent_15,2.0,51.0,household_agent_14,47.0,0.0,0.0,47.0,51.0
5,,,household_agent_15,6.0,261.0,household_agent_14,50.0,0.0,0.0,50.0,261.0
6,,,household_agent_72,3.0,80.0,household_agent_71,37.0,0.0,0.0,37.0,80.0
7,,,household_agent_72,7.0,258.0,household_agent_71,12.0,0.0,0.0,12.0,258.0
8,,,household_agent_14,103800.0,52.0,household_agent_15,47.0,51.0,0.0,47.0,52.0
9,,,household_agent_14,103801.0,262.0,household_agent_15,50.0,261.0,0.0,50.0,262.0
10,,,household_agent_15,103900.0,59.0,household_agent_14,18.0,54.0,0.0,18.0,59.0
11,,,household_agent_15,103901.0,287.0,household_agent_14,40.0,266.0,0.0,40.0,287.0
12,,,household_agent_71,109500.0,153.0,household_agent_72,37.0,80.0,0.0,37.0,153.0
13,,,household_agent_71,109501.0,293.0,household_agent_72,12.0,258.0,0.0,12.0,293.0
14,,,household_agent_72,109600.0,200.0,household_agent_71,22.0,119.0,0.0,22.0,200.0
15,,,household_agent_72,109601.0,410.0,household_agent_71,36.0,317.0,0.0,36.0,410.0
