,Parameter,Value,sender
0,Start simulation,2025-01-21 20:11:34.058538,
1,Simulation configuration ID,da99ea96-dfde-451b-b1c5-b6ea510f8b16,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,
3,Communication graph,Small World Overlay Topology with 326 agents and p = 0.5,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
