,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-31 14:57:31.719339,,,,,,
1,Simulation configuration ID,1185bfcc-fcf9-40a5-9c9d-549b3805c98b,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Star Overlay Topology with 324 agents,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,89.0,aggregator_agent,1318.0,118.0,market_agent
0,,,1.0,49.0,aggregator_agent,1318.0,81.0,grid_operator_agent
0,,,2.0,111.0,aggregator_agent,1318.0,129.0,household_agent_19
0,,,3.0,181.0,aggregator_agent,1318.0,149.0,household_agent_64
0,,,4.0,170.0,aggregator_agent,1318.0,73.0,household_agent_67
0,,,5.0,113.0,aggregator_agent,1318.0,147.0,household_agent_6
0,,,6.0,140.0,aggregator_agent,1318.0,195.0,household_agent_81
0,,,7.0,130.0,aggregator_agent,1318.0,163.0,household_agent_92
0,,,8.0,145.0,aggregator_agent,1318.0,161.0,household_agent_46
0,,,9.0,89.0,aggregator_agent,1318.0,149.0,household_agent_5
0,,,10.0,93.0,aggregator_agent,1318.0,85.0,household_agent_27
0,,,11.0,97.0,aggregator_agent,1318.0,99.0,household_agent_65
0,,,12.0,93.0,aggregator_agent,1318.0,104.0,household_agent_83
0,,,13.0,91.0,aggregator_agent,1318.0,109.0,household_agent_76
0,,,14.0,125.0,aggregator_agent,1318.0,133.0,household_agent_54
0,,,15.0,162.0,aggregator_agent,1318.0,180.0,household_agent_44
0,,,16.0,140.0,aggregator_agent,1318.0,196.0,household_agent_68
