,Parameter,Value,sender
0,Start simulation,2025-01-24 11:14:20.159339,
1,Simulation configuration ID,5b713cb6-ba30-4f50-b8f6-e9fb798c3e29,
2,Network,SimbenchNetwork_5G_1-LV-semiurb4--1-no_sw,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
