,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-02 02:09:40.604492,,,,,,,,,,,
1,Simulation configuration ID,b09be822-93c9-40d0-9a8b-bbc81d932de6,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 330 agents,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,21.0,household_agent_0,1024.0,495.0,True,89.0,generation_agent_2,162.0,525.0,210.0
1,,,1.0,21.0,household_agent_1,1025.0,248.0,True,98.0,generation_agent_2,376.0,536.0,465.0
2,,,1.0,21.0,household_agent_1,1025.0,248.0,True,98.0,generation_agent_2,416.0,204.0,505.0
3,,,3.0,21.0,household_agent_3,1027.0,344.0,True,0.0,generation_agent_2,86.0,536.0,122.0
4,,,3.0,21.0,household_agent_3,1027.0,344.0,True,0.0,generation_agent_2,124.0,151.0,160.0
5,,,4.0,21.0,household_agent_4,1028.0,444.0,True,2.0,generation_agent_2,180.0,243.0,231.0
6,,,6.0,21.0,household_agent_6,1030.0,996.0,True,27.0,generation_agent_2,230.0,536.0,296.0
7,,,6.0,21.0,household_agent_6,1030.0,996.0,True,27.0,generation_agent_2,268.0,277.0,334.0
8,,,7.0,21.0,household_agent_7,1031.0,732.0,True,34.0,generation_agent_2,146.0,536.0,183.0
9,,,7.0,21.0,household_agent_7,1031.0,732.0,True,34.0,generation_agent_2,183.0,288.0,220.0
10,,,8.0,21.0,household_agent_8,1032.0,353.0,True,85.0,generation_agent_2,53.0,270.0,60.0
11,,,13.0,21.0,household_agent_13,1037.0,598.0,True,31.0,generation_agent_2,322.0,536.0,405.0
12,,,13.0,21.0,household_agent_13,1037.0,598.0,True,31.0,generation_agent_2,360.0,377.0,443.0
13,,,15.0,21.0,household_agent_15,1039.0,497.0,True,68.0,generation_agent_2,67.0,536.0,72.0
14,,,15.0,21.0,household_agent_15,1039.0,497.0,True,68.0,generation_agent_2,107.0,377.0,112.0
15,,,16.0,21.0,household_agent_16,1040.0,439.0,True,34.0,generation_agent_2,314.0,267.0,383.0
16,,,18.0,21.0,household_agent_18,1042.0,754.0,True,78.0,generation_agent_2,291.0,536.0,356.0
17,,,18.0,21.0,household_agent_18,1042.0,754.0,True,78.0,generation_agent_2,329.0,76.0,394.0
18,,,22.0,21.0,household_agent_22,1046.0,839.0,True,93.0,generation_agent_2,96.0,261.0,133.0
19,,,23.0,21.0,household_agent_23,1047.0,855.0,True,29.0,generation_agent_2,214.0,536.0,274.0
20,,,23.0,21.0,household_agent_23,1047.0,855.0,True,29.0,generation_agent_2,252.0,158.0,312.0
