,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 18:18:07.344966,,,,,,
1,Simulation configuration ID,53ee9684-76c1-47a9-a4cc-37464712a1db,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,81.0,aggregator_agent,1318.0,991.0,control_center_agent
0,,,1.0,269.0,household_agent_54,1072.0,991.0,aggregator_agent
1,,,6.0,207416.0,control_center_agent,1319.0,991.0,aggregator_agent
0,,,2.0,247212.0,household_agent_53,1071.0,991.0,household_agent_54
1,,,3.0,247212.0,household_agent_55,1073.0,991.0,household_agent_54
2,,,4.0,247212.0,generation_agent_6,1124.0,991.0,household_agent_54
3,,,5.0,50770.0,aggregator_agent,1318.0,991.0,household_agent_54
