,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-19 16:32:01.250529,,,,,,,,
1,Simulation configuration ID,70f7f186-0234-40bf-b205-e44657439610,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,43.0,household_agent_21,1039.0,782.0,True,87.0,storage_agent_23
1,,,1.0,43.0,household_agent_77,1095.0,973.0,True,47.0,storage_agent_23
2,,,2.0,43.0,generation_agent_0,1118.0,789.0,True,22.0,storage_agent_23
3,,,3.0,43.0,generation_agent_13,1131.0,974.0,True,6.0,storage_agent_23
4,,,4.0,43.0,generation_agent_27,1145.0,542.0,True,28.0,storage_agent_23
5,,,5.0,43.0,generation_agent_52,1170.0,459.0,True,13.0,storage_agent_23
6,,,6.0,43.0,generation_agent_58,1176.0,909.0,True,24.0,storage_agent_23
7,,,7.0,43.0,generation_agent_80,1198.0,257.0,True,22.0,storage_agent_23
8,,,8.0,43.0,generation_agent_85,1203.0,355.0,True,81.0,storage_agent_23
9,,,9.0,43.0,storage_agent_35,1253.0,609.0,True,19.0,storage_agent_23
10,,,10.0,43.0,storage_agent_41,1259.0,467.0,True,32.0,storage_agent_23
11,,,11.0,43.0,storage_agent_49,1267.0,764.0,True,99.0,storage_agent_23
12,,,12.0,43.0,storage_agent_65,1283.0,367.0,True,51.0,storage_agent_23
13,,,13.0,43.0,storage_agent_81,1299.0,351.0,True,26.0,storage_agent_23
14,,,14.0,43.0,household_agent_21,1039.0,747.0,True,20.0,storage_agent_23
15,,,15.0,43.0,household_agent_77,1095.0,755.0,True,65.0,storage_agent_23
16,,,16.0,43.0,generation_agent_0,1118.0,869.0,True,38.0,storage_agent_23
17,,,17.0,43.0,generation_agent_13,1131.0,591.0,True,17.0,storage_agent_23
18,,,18.0,43.0,generation_agent_27,1145.0,341.0,True,37.0,storage_agent_23
19,,,19.0,43.0,generation_agent_52,1170.0,712.0,True,8.0,storage_agent_23
20,,,20.0,43.0,generation_agent_58,1176.0,935.0,True,92.0,storage_agent_23
21,,,21.0,43.0,generation_agent_80,1198.0,801.0,True,19.0,storage_agent_23
22,,,22.0,43.0,generation_agent_85,1203.0,982.0,True,97.0,storage_agent_23
23,,,23.0,43.0,storage_agent_35,1253.0,280.0,True,84.0,storage_agent_23
24,,,24.0,43.0,storage_agent_41,1259.0,546.0,True,98.0,storage_agent_23
25,,,25.0,43.0,storage_agent_49,1267.0,789.0,True,10.0,storage_agent_23
26,,,26.0,43.0,storage_agent_65,1283.0,267.0,True,57.0,storage_agent_23
27,,,27.0,43.0,storage_agent_81,1299.0,324.0,True,56.0,storage_agent_23
28,,,28.0,43.0,household_agent_21,1039.0,596.0,True,21.0,storage_agent_23
29,,,29.0,43.0,household_agent_77,1095.0,643.0,True,71.0,storage_agent_23
30,,,30.0,43.0,generation_agent_0,1118.0,325.0,True,23.0,storage_agent_23
31,,,31.0,43.0,generation_agent_13,1131.0,941.0,True,77.0,storage_agent_23
32,,,32.0,43.0,generation_agent_27,1145.0,661.0,True,36.0,storage_agent_23
33,,,33.0,43.0,generation_agent_52,1170.0,320.0,True,77.0,storage_agent_23
34,,,34.0,43.0,generation_agent_58,1176.0,608.0,True,46.0,storage_agent_23
35,,,35.0,43.0,generation_agent_80,1198.0,759.0,True,56.0,storage_agent_23
36,,,36.0,43.0,generation_agent_85,1203.0,325.0,True,92.0,storage_agent_23
37,,,37.0,43.0,storage_agent_35,1253.0,514.0,True,44.0,storage_agent_23
38,,,38.0,43.0,storage_agent_41,1259.0,531.0,True,42.0,storage_agent_23
39,,,39.0,43.0,storage_agent_49,1267.0,540.0,True,35.0,storage_agent_23
40,,,40.0,43.0,storage_agent_65,1283.0,566.0,True,35.0,storage_agent_23
41,,,41.0,43.0,storage_agent_81,1299.0,309.0,True,4.0,storage_agent_23
42,,,42.0,43.0,household_agent_21,1039.0,736.0,True,16.0,storage_agent_23
43,,,43.0,43.0,household_agent_77,1095.0,497.0,True,34.0,storage_agent_23
44,,,44.0,43.0,generation_agent_0,1118.0,894.0,True,52.0,storage_agent_23
45,,,45.0,43.0,generation_agent_13,1131.0,723.0,True,16.0,storage_agent_23
46,,,46.0,43.0,generation_agent_27,1145.0,461.0,True,70.0,storage_agent_23
47,,,47.0,43.0,generation_agent_52,1170.0,774.0,True,45.0,storage_agent_23
48,,,48.0,43.0,generation_agent_58,1176.0,249.0,True,80.0,storage_agent_23
49,,,49.0,43.0,generation_agent_80,1198.0,977.0,True,3.0,storage_agent_23
50,,,50.0,43.0,generation_agent_85,1203.0,796.0,True,53.0,storage_agent_23
51,,,51.0,43.0,storage_agent_35,1253.0,560.0,True,57.0,storage_agent_23
52,,,52.0,43.0,storage_agent_41,1259.0,509.0,True,36.0,storage_agent_23
53,,,53.0,43.0,storage_agent_49,1267.0,370.0,True,18.0,storage_agent_23
54,,,54.0,43.0,storage_agent_65,1283.0,230.0,True,66.0,storage_agent_23
55,,,55.0,43.0,storage_agent_81,1299.0,927.0,True,63.0,storage_agent_23
56,,,56.0,43.0,household_agent_21,1039.0,821.0,True,2.0,storage_agent_23
57,,,57.0,43.0,household_agent_77,1095.0,413.0,True,44.0,storage_agent_23
58,,,58.0,43.0,generation_agent_0,1118.0,642.0,True,64.0,storage_agent_23
59,,,59.0,43.0,generation_agent_13,1131.0,328.0,True,29.0,storage_agent_23
60,,,60.0,43.0,generation_agent_27,1145.0,881.0,True,20.0,storage_agent_23
61,,,61.0,43.0,generation_agent_52,1170.0,314.0,True,20.0,storage_agent_23
62,,,62.0,43.0,generation_agent_58,1176.0,913.0,True,68.0,storage_agent_23
63,,,63.0,43.0,generation_agent_80,1198.0,380.0,True,94.0,storage_agent_23
64,,,64.0,43.0,generation_agent_85,1203.0,663.0,True,76.0,storage_agent_23
