,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 16:01:11.041191,,,,,,,,,,,
1,Simulation configuration ID,a511ed9a-ba01-40c1-9886-d8ffc7560420,,,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
