,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:17:52.381923,,,,,,,,,
1,Simulation configuration ID,4cbba8ed-2f0f-49fd-8ab4-61d8db226814,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_50,0.0,146.0,household_agent_49,75.0,0.0,47.0,75.0,193.0
1,,,household_agent_50,1.0,71.0,household_agent_30,67.0,0.0,47.0,67.0,118.0
2,,,household_agent_13,2.0,106.0,household_agent_12,90.0,0.0,52.0,90.0,158.0
3,,,household_agent_49,3.0,160.0,household_agent_50,86.0,0.0,58.0,86.0,218.0
4,,,household_agent_16,4.0,143.0,household_agent_15,93.0,0.0,47.0,93.0,190.0
5,,,household_agent_16,5.0,73.0,household_agent_19,93.0,0.0,53.0,93.0,126.0
6,,,household_agent_12,6.0,119.0,household_agent_13,162.0,0.0,47.0,162.0,166.0
7,,,household_agent_19,7.0,76.0,household_agent_16,126.0,0.0,54.0,126.0,130.0
8,,,household_agent_30,8.0,141.0,household_agent_50,168.0,0.0,111.0,168.0,252.0
9,,,household_agent_2,9.0,105.0,household_agent_3,75.0,0.0,52.0,75.0,157.0
10,,,household_agent_15,10.0,98.0,household_agent_16,155.0,0.0,48.0,155.0,146.0
11,,,household_agent_3,11.0,118.0,household_agent_2,105.0,0.0,53.0,105.0,171.0
