,Parameter,Value,sender
0,Start simulation,2025-01-03 11:43:42.650419,
1,Simulation configuration ID,ec285fe6-cd6f-4aa6-b056-4e8ba981e8f3,
2,Network,SimbenchNetwork_5G_1-LV-semiurb4--1-no_sw,
3,Communication graph,Ring Overlay Topology with 65 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
