,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:42:55.910442,,,,,,,,,
1,Simulation configuration ID,ada0455a-296e-42d5-bc56-c1be18fa3e04,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 332 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_72,0.0,97.0,household_agent_71,665.0,0.0,1.0,536.0,98.0
1,,,household_agent_72,0.0,97.0,household_agent_71,665.0,0.0,1.0,129.0,98.0
2,,,household_agent_6,1.0,138.0,household_agent_7,510.0,0.0,1.0,510.0,139.0
3,,,household_agent_7,2.0,133.0,household_agent_6,528.0,0.0,1.0,528.0,134.0
4,,,household_agent_71,3.0,92.0,household_agent_72,268.0,0.0,0.0,268.0,92.0
