,Parameter,Value,sender
0,Start simulation,2024-12-31 14:04:19.268801,
1,Simulation configuration ID,74cd9b3b-7924-4c33-b64f-124eedf07d65,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,
4,Agent communication pattern,EVManagementSystem,
5,Trigger Type,EVENT_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
