,Parameter,Value,sender
0,Start simulation,2025-01-20 05:38:58.124868,
1,Simulation configuration ID,508e63d6-091b-4c41-a259-1b2bfdd6b7b8,
2,Network,SimbenchNetwork_Ethernet_1-LV-semiurb4--1-no_sw,
3,Communication graph,Ring Overlay Topology with 67 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
